AHK Function;code line;AHK File
_#SQLite_CheckDB($hDB);1080;SQLite.ahk
_#SQLite_CheckQuery($hQuery);1105;SQLite.ahk
_#SQLite_ExtractInt(ByRef $pResult, $pOffset = 0, $pIsSigned = false, $pSize = 4);1054;SQLite.ahk
"_(opt="""")";49;_.ahk
___Clone(offset);401;_Struct.ahk
"___InitField(_this,N,offset="" "",encoding=0,AHKType=0,isptr="" "",type=0,arrsize=0,memory=0)";90;_Struct.ahk
__TermWait_TermNotifier(pGlobal);58;TermWait.ahk
__TermWait_TermNotifier(pGlobal);95;TermWaitLibs.ahk
__tmp(type, address);1290;C.ahk
__UpdRes_EnumeratorCallback(hModule, lpszType, lpszName, lParam);221;UpdRes.ahk
__Vt(n);50;UIA_Interface.ahk
"__WinINet_InternetCrackURL(lpszUrl,arrayName=""URL"")";443;WinSock2.ahk
__WS_ANSI2Unicode(sAnsi, ByRef sUtf16);1559;ws4ahk.ahk
__WS_CLSIDFromProgID(sProgId, ByRef sbinClassId);1362;ws4ahk.ahk
__WS_CLSIDFromString(sClassId, ByRef sbinClassId);1402;ws4ahk.ahk
__WS_ComError(iErr, sErrDesc);1529;ws4ahk.ahk
__WS_CreateInstanceFromDll(sDll, ByRef sbinClassId, ByRef sbinIId);1238;ws4ahk.ahk
__WS_FreeBSTR(iBstrPtr);1761;ws4ahk.ahk
__WS_GetIDispatch(ppObj, LCID = 0);1302;ws4ahk.ahk
__WS_HandleScriptError();409;ws4ahk.ahk
__WS_IClassFactory_CreateInstance(ppvIClassFactory, pUnkOuter, ByRef riid);2513;ws4ahk.ahk
__WS_IDispatch_GetTypeInfo(ppDispatch, LCID = 0);2693;ws4ahk.ahk
__WS_IDispatch_GetTypeInfoCount(ppDispatch);2659;ws4ahk.ahk
__WS_IIDFromString(sIId, ByRef sbinIId);1446;ws4ahk.ahk
__WS_IsComError(sFunction, iErr);1486;ws4ahk.ahk
__WS_IScriptControl_AddObject(ppvScriptControl, sName, pObjectDispatch, blnAddMembers);2224;ws4ahk.ahk
__WS_IScriptControl_Error(ppvScriptControl);2188;ws4ahk.ahk
__WS_IScriptControl_Eval(ppvScriptControl, sExpression, ByRef VarRet);2275;ws4ahk.ahk
__WS_IScriptControl_ExecuteStatement(ppvScriptControl, sStatement);2327;ws4ahk.ahk
__WS_IScriptError_Clear(ppvScriptError);2469;ws4ahk.ahk
__WS_IScriptError_Description(ppvScriptError);2427;ws4ahk.ahk
__WS_IScriptError_Number(ppvScriptError);2394;ws4ahk.ahk
__WS_ITypeInfo_GetTypeAttr(ppTypeInfo);2579;ws4ahk.ahk
__WS_ITypeInfo_ReleaseTypeAttr(ppTypeInfo, pTypeAttr);2612;ws4ahk.ahk
__WS_IUnknown_AddRef(ppv);2787;ws4ahk.ahk
__WS_IUnknown_QueryInterface(ppv, iid);2739;ws4ahk.ahk
__WS_IUnknown_Release(ppv);2820;ws4ahk.ahk
__WS_StringToBSTR(sAnsi);1721;ws4ahk.ahk
__WS_Unicode2ANSI(psUtf16, ByRef sAnsi);1628;ws4ahk.ahk
__WS_UnpackVARIANT(ByRef VARIANT, ByRef xReturn);1795;ws4ahk.ahk
__WS_VariantClear(ByRef VAR);1945;ws4ahk.ahk
__WS_VTable(ppv, idx);1694;ws4ahk.ahk
"__WSA_AsyncSelect(__WSA_Socket, UDF, __WSA_NotificationMsg=0x5000,__WSA_DataReceiver=""__WSA_recv"")";318;WinSock2.ahk
__WSA_CloseSocket(__WSA_Socket);413;WinSock2.ahk
__WSA_Connect();234;WinSock2.ahk
__WSA_GetHostByName(url);269;WinSock2.ahk
__WSA_GetLastError(txt=1);297;WinSock2.ahk
__WSA_GetThisScriptHandle();427;WinSock2.ahk
__WSA_recv(wParam, lParam);346;WinSock2.ahk
__WSA_ScriptInit();154;WinSock2.ahk
__WSA_send(__WSA_Socket, __WSA_Data, __WSA_DataLen);397;WinSock2.ahk
__WSA_Socket();212;WinSock2.ahk
__WSA_Startup();183;WinSock2.ahk
_5thpass();2;parser Directx11, DirectShow.ahk
_6thpass();113;parser Directx1-10.ahk
_7thpass();2;parser Directx1-10.ahk
_7thpass();48;parser Directx1-10.ahk
_7thpass();74;parser Directx1-10.ahk
_AddPic();105;QMsgBox.ahk
_appendText( ByRef clipData, clipSize, textData, IsSet = 0 );555;WinClip.ahk
_assign(_type_, address, value);804;C.ahk
_BindingChanged(ControlGuid, bo);51;AppFactory.ahk
_BindModeEnded(callback, bo);321;AppFactory.ahk
_BITMAPtoDIB( bitmap, ByRef DIB );736;WinClip.ahk
_calcHTMLLen( num );513;WinClip.ahk
_cDoubleToInt64(input);1600;Mini_Framwork\0.3\System\MfFloat.ahk
_ChangeModal( mode );70;QMsgBox.ahk
_CheckComposition();85;FFAAS.ahk
_cInt16ToUInt16(input);1343;Mini_Framwork\0.3\System\MfInt16.ahk
_cInt64ToInt(input);1625;Mini_Framwork\0.3\System\MfFloat.ahk
_cInt64ToInt(input);1324;Mini_Framwork\0.3\System\MfInt16.ahk
_cInt64ToInt(input);1326;Mini_Framwork\0.3\System\MfInt64.ahk
_CompareSISII(strA, indexA, strB, indexB, length);3940;Mini_Framwork\0.3\System\MfString.ahk
_CompareSISIIB(strA, indexA, strB, indexB, length, ignoreCase);3948;Mini_Framwork\0.3\System\MfString.ahk
_CompareSS(strA, strB);4008;Mini_Framwork\0.3\System\MfString.ahk
_CompareSSB(strA, strB, ignoreCase);3975;Mini_Framwork\0.3\System\MfString.ahk
_CompareSSC(strA, strB, comparisonType);3981;Mini_Framwork\0.3\System\MfString.ahk
_compileClipData( ByRef out_data, objClip );194;WinClip.ahk
_CpyData_OnRcv(wParam, lParam);45;CpyData.ahk
_createAuthorElement(obj);73;ALD.DefinitionGenerator.ahk
_createAuthorList();64;ALD.DefinitionGenerator.ahk
_createDependencyElement(obj);97;ALD.DefinitionGenerator.ahk
_createDependencyList();88;ALD.DefinitionGenerator.ahk
_createDocFileList();158;ALD.DefinitionGenerator.ahk
_createFileElement(obj);176;ALD.DefinitionGenerator.ahk
_createFileLists();152;ALD.DefinitionGenerator.ahk
_createLinkElement(obj);208;ALD.DefinitionGenerator.ahk
_createLinkList();199;ALD.DefinitionGenerator.ahk
_createNamespaceAttribute(name, value);217;ALD.DefinitionGenerator.ahk
_createNamespaceElement(name);225;ALD.DefinitionGenerator.ahk
_createRequirementElement(obj);130;ALD.DefinitionGenerator.ahk
_createRequirementsList();121;ALD.DefinitionGenerator.ahk
_createSrcFileList();167;ALD.DefinitionGenerator.ahk
_createTagElement(obj);192;ALD.DefinitionGenerator.ahk
_createTagList();183;ALD.DefinitionGenerator.ahk
_CreateTrimmedString(start, end);4056;Mini_Framwork\0.3\System\MfString.ahk
_del();1284;C.ahk
_DIBtoHBITMAP( ByRef dibData );705;WinClip.ahk
_disable();146;memlib (2).ahk
_disable();322;memlib (2).ahk
_dmpArrayEmpty(paArray);145;dmp.ahk
_dmpGetQuotes(pVar);151;dmp.ahk
_dmpGetVarContent(psText);251;dmp.ahk
_dmpGetVarnames(psText);260;dmp.ahk
_dmpListLines();301;dmp.ahk
_ElemID(ByRef v);203;Markdown2HTML.ahk
_enable();141;memlib (2).ahk
_enable();313;memlib (2).ahk
_EnumString_AddRef(self);140;Autocomplete.ahk
_EnumString_Clone(self,ppenum);160;Autocomplete.ahk
_EnumString_QueryInterface(self,riid,pObj);133;Autocomplete.ahk
_EnumString_Release(self);144;Autocomplete.ahk
_EnumString_Reset(self);155;Autocomplete.ahk
_EnumString_Skip(self,celt);148;Autocomplete.ahk
_error(a,ByRef b);196;Base.ahk
_ErrorCheckParameter(index, pArgs, AllowUndefined = true);359;Mini_Framwork\0.3\System\MfPrimitive.ahk
"_FFAAS_BitBlt(ddc, dx, dy, dw, dh, sdc, sx, sy, Raster="""")";589;FFAAS.ahk
_FFAAS_CreateWindowEx(ExStyle, ClassName, WindowName, Style, x,y, w,h, hWndParent=0, hMenu=0, hInstance=0, lpParam=0);476;FFAAS.ahk
_FFAAS_DeleteObject(hObject);584;FFAAS.ahk
_FFAAS_GetParent(hWnd);580;FFAAS.ahk
_FFAAS_GetSystemMetrics(Index);557;FFAAS.ahk
_FFAAS_GetWindowInfo(hwnd,ByRef wx,ByRef wy,ByRef ww,ByRef wh,ByRef cx,ByRef cy,ByRef cw,ByRef ch);515;FFAAS.ahk
_FFAAS_IsComposition();561;FFAAS.ahk
_FFAAS_RedrawWindow(hWnd, lprcUpdate=0, hrgnUpdate=0, flags=0x101);531;FFAAS.ahk
_FFAAS_ReleaseDC(hdc, hwnd=0);575;FFAAS.ahk
"_FFAAS_UpdateLayeredWindow(hwnd, hdc, x="""", y="""", w="""", h="""", Alpha=255, flag=4)";492;FFAAS.ahk
_FFAAS_WM_SETREDRAW(hWnd, state=1);569;FFAAS.ahk
_ForceFormat();1637;Mini_Framwork\0.3\System\MfFloat.ahk
_fromclipboard( ByRef clipData );58;WinClip.ahk
_GetByteArray();2033;Mini_Framwork\0.3\System\MfChar.ahk
_GetCharFromString(s, index);623;Mini_Framwork\0.3\System\MfCharUnicodeInfo.ahk
_GetCharValue(c);1933;Mini_Framwork\0.3\System\MfChar.ahk
_getClipData( ByRef data );153;WinClip.ahk
_GetCRC32(x);4339;Mini_Framwork\0.3\System\MfString.ahk
_GetEnumInstance(enumType);1308;Mini_Framwork\0.3\System\MfEnum.ahk
_GetEnumItemByValue(EnumType, iValue);944;Mini_Framwork\0.3\System\MfEnum.ahk
_GetEnumItemCI(EnumType, strKey);971;Mini_Framwork\0.3\System\MfEnum.ahk
_GetEnumItemCS(EnumType, strKey);998;Mini_Framwork\0.3\System\MfEnum.ahk
_getFileList();19;ALD.PackageGenerator.ahk
_getFiles( pDROPFILES );572;WinClip.ahk
_GetFmtObjValue(fObj);1645;Mini_Framwork\0.3\System\MfFloat.ahk
_GetFmtValue(f, fmt);1665;Mini_Framwork\0.3\System\MfFloat.ahk
_getFormatData( ByRef out_data, ByRef data, size, needleFormat );680;WinClip.ahk
_GetFormatFromArg(arg);1705;Mini_Framwork\0.3\System\MfFloat.ahk
_getFormatName( iformat );892;WinClip.ahk
_GetFreeGui();21;QMsgBox.ahk
_GetInternalName();22;CHotKey.ahk
_GetName_(DisplayName);224;Service.ahk
_GetNV(iChar);196;Mini_Framwork\0.3\System\MfUnicode\UCDSqlite.ahk
_GetPos();84;QMsgBox.ahk
"_GETRequest(URL, NamespaceURI, user = """", password = """")";88;ALD.Connection.ahk
_GetStringFromVarOrObj(InputVar);4784;Mini_Framwork\0.3\System\Mfunc.ahk
_GetTableObj(sql, maxResult = -1);189;DataBaseMySQL.ahk
_GetTableObj(sql, maxResult = -1);227;DataBaseSQLLite.ahk
_GetTableObj(sql, maxResult = -1);297;Mini_Framwork\0.3\System\MfUnicode\MfUcdDb.ahk
_GetValue(obj);630;Mini_Framwork\0.3\System\MfBool.ahk
_GetValue(obj);643;Mini_Framwork\0.3\System\MfByte.ahk
_GetValue(obj);801;Mini_Framwork\0.3\System\MfFloat.ahk
_GetValue(obj);672;Mini_Framwork\0.3\System\MfInt16.ahk
_GetValue(obj);674;Mini_Framwork\0.3\System\MfInt64.ahk
_GetValue(obj);698;Mini_Framwork\0.3\System\MfInteger.ahk
_GetValueFromVar(varInt);712;Mini_Framwork\0.3\System\MfByte.ahk
_GetValueFromVar(varInt);733;Mini_Framwork\0.3\System\MfInt16.ahk
_GetValueFromVar(varInt);735;Mini_Framwork\0.3\System\MfInt64.ahk
_GetValueFromVar(varInt);766;Mini_Framwork\0.3\System\MfInteger.ahk
_GuiControlChanged(ControlGuid, value);56;AppFactory.ahk
_HasFlag(flag);687;Mini_Framwork\0.3\System\MfEnum.ahk
_hasFormat( ByRef data, size, needleFormat );934;WinClip.ahk
_Hex2Text(Hex);2348;Mini_Framwork\0.3\System\MfChar.ahk
_HTML(ByRef v);194;Markdown2HTML.ahk
_Index(i);1461;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfC(searchChar);4074;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfCI(searchChar, startIndex);4077;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfCII(searchChar, startIndex, count);4085;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfS(searchString);4093;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfSC(str, searchChar);4112;Mini_Framwork\0.3\System\MfString.ahk
_IndexofSI(searchString, startIndex);4096;Mini_Framwork\0.3\System\MfString.ahk
_IndexofSII(searchString, startIndex, count);4104;Mini_Framwork\0.3\System\MfString.ahk
_IndexOfSS(str, searchString);4147;Mini_Framwork\0.3\System\MfString.ahk
_Init(T);99;Mini_Framwork\0.3\System\MfType.ahk
_initDic(dicColFields);76;Mini_Framwork\0.3\System\MfUnicode\MfDbUcdAbstract.ahk
_InternalConvertToUtf32(s, index);525;Mini_Framwork\0.3\System\MfCharUnicodeInfo.ahk
_InternalConvertToUtf32Cl(s, index, ByRef charLength);506;Mini_Framwork\0.3\System\MfCharUnicodeInfo.ahk
_intiColumnsFields(columns, fields);43;Mini_Framwork\0.3\System\MfUnicode\MfDbUcdAbstract.ahk
_isCharInstance(ByRef c);2159;Mini_Framwork\0.3\System\MfChar.ahk
_isClipEmpty();385;WinClip.ahk
_IsDigit(c);2167;Mini_Framwork\0.3\System\MfChar.ahk
_IsInstance( funcName );112;WinClip.ahk
_IsNull(obj);995;Mini_Framwork\0.3\System\MfObject.ahk
_IsSeparatorLatin1(c);2229;Mini_Framwork\0.3\System\MfChar.ahk
_IsSurrogateC(c);2261;Mini_Framwork\0.3\System\MfChar.ahk
_IsSurrogatePairCC(highSurrogate, lowSurrogate);2267;Mini_Framwork\0.3\System\MfChar.ahk
"_IsSurrogatePairSI(s, index, methodName = """")";2276;Mini_Framwork\0.3\System\MfChar.ahk
"_IsSurrogateSI(s, index, methodName = """")";2240;Mini_Framwork\0.3\System\MfChar.ahk
