str_Name,str_Album,lng_Track_Number,str_Genre,lng_Total_Time,lng_Size
"Hey Jude - Sgt. Pepper's Lonely Hearts Club Band (Reprise) (LOVE)",LOVE,24,Pop,320914,5159544
March Of The Meanies,Yellow Submarine,11,Soundtrack,139415,3388931
Tell Me What You See,Help!,11,Pop,158040,3840243
Sea Of Holes,Yellow Submarine,9,Soundtrack,136751,3324973
Love Me Do [Original Single Version] [Mono],"Past Masters, Vol. 1",1,Pop,145946,3532853
She Loves You [Mono],"Past Masters, Vol. 1",4,Pop,141400,3423743
Eight Days A Week,Beatles For Sale,8,Pop,163657,3971278
Taxman,Revolver,1,Pop,158928,3866084
Matchbox,"Past Masters, Vol. 1",13,Rock,118804,2881415
The Word,Rubber Soul,6,Pop,163160,3998939
Till There Was You,With The Beatles,6,Folk,133564,3246913
Ticket To Ride,Help!,7,Pop,189753,4601341
I Me Mine (naked),Let It Be...Naked CD1,9,Pop,141244,2283040
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,6,Pop,215222,5265669
Savoy Truffle,The Beatles (White Album),10,Pop,174524,4212361
Baby You're A Rich Man,Magical Mystery Tour,10,Pop,181368,4440159
Yer Blues,The Beatles (White Album),2,Blues,240509,5796016
"Lady Madonna (LOVE)",LOVE,18,Pop,175568,2833973
"Ob-La-Di, Ob-La-Da",The Beatles (White Album),4,Pop,189022,4560337
All You Need Is Love,Magical Mystery Tour,11,Pop,230452,5618175
Dizzy Miss Lizzy,Help!,14,Rock,176561,4284729
No Reply,Beatles For Sale,1,Pop,136124,3310473
Piggies,The Beatles (White Album),12,Pop,124342,3008043
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,10,Pop,162168,3992349
The Long And Winding Road (naked),Let It Be...Naked CD1,4,Pop,214177,3449998
Lady Madonna,"Past Masters, Vol. 2",5,Pop,137639,3330071
I Feel Fine,"Past Masters, Vol. 1",14,Pop,139755,3384239
All My Loving,With The Beatles,3,Pop,127921,3111499
Come Together/Dear Prudence/Cry Baby Cry [Transition] (LOVE),LOVE,20,Pop,285100,4586533
One After 909 (naked),Let It Be...Naked CD1,7,Country,164048,2647923
